Precision,Recall,Run time,fscore
1,1,0.08574295,1
0.875,0.98245614,0.018949032,0.925619835
0.763888889,0.982142857,0.027925253,0.859375
1,0.980716253,0.035876513,0.990264256
1,0.972789116,0.022939682,0.986206897
1,0.972085386,0.034906387,0.985845129
1,0.97053407,0.037894964,0.985046729
1,0.967551622,0.032912731,0.983508246
1,0.964205817,0.092751265,0.981776765
1,0.959044369,0.050863504,0.979094077
1,0.957219251,0.030917168,0.978142077
1,0.947115385,0.048869133,0.972839506
1,0.945054945,0.027952909,0.971751412
0.989473684,0.936877076,0.032939196,0.962457338
0.990066225,0.934375,0.027893782,0.961414791
1,0.929577465,0.033910036,0.96350365
0.991666667,0.92248062,0.054845095,0.955823293
1,0.919270833,0.071786404,0.957937585
1,0.90809628,0.041916609,0.951834862
1,0.907142857,0.049865723,0.951310861
0.992211838,0.906116643,0.033910036,0.947211896
0.997767857,0.899396378,0.031882524,0.946031746
1,0.883522727,0.034909487,0.938159879
0.826086957,0.863636364,0.018979549,0.844444444
0.98540146,0.859872611,0.022910595,0.918367347
0.967741935,0.857142857,0.021942377,0.909090909
0.996389892,0.857142857,0.033881903,0.921535893
1,0.853658537,0.023935795,0.921052632
0.973102786,0.828291087,0.04484725,0.894876325
0.996124031,0.826366559,0.033909559,0.903339192
1,0.811983471,0.022938967,0.896237172
1,0.80861244,0.02593112,0.894179894
1,0.791277259,0.027927637,0.883478261
1,0.78,0.026927948,0.876404494
1,0.772925764,0.031913996,0.871921182
1,0.760869565,0.029919624,0.864197531
0.899159664,0.753521127,0.056820154,0.819923372
0.985507246,0.747252747,0.030945539,0.85
1,0.746031746,0.024960995,0.854545455
1,0.745192308,0.028921843,0.85399449
0.951219512,0.742857143,0.050864458,0.834224599
1,0.741176471,0.049866676,0.851351351
1,0.722457627,0.082749605,0.838868389
0.990272374,0.716901408,0.032874584,0.831699346
1,0.711229947,0.104719639,0.83125
0.774193548,0.705882353,0.042911768,0.738461538
0.996794872,0.688053097,0.033908606,0.814136126
1,0.677083333,0.035871983,0.807453416
1,0.677002584,0.037867785,0.807395994
1,0.676595745,0.027953148,0.807106599
1,0.671232877,0.025925636,0.803278689
0.954887218,0.641414141,0.022903681,0.767371601
1,0.633744856,0.025898933,0.77581864
0.970149254,0.631067961,0.03789854,0.764705882
1,0.628787879,0.028925896,0.772093023
0.98245614,0.614259598,0.045850039,0.755905512
1,0.609589041,0.031914473,0.757446809
1,0.609218437,0.028891802,0.757160648
0.993630573,0.608187135,0.030916929,0.754534462
1,0.607740586,0.055844545,0.756018217
0.996343693,0.606904232,0.079788923,0.75432526
